Sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Class,QC,QC,QC,Blank,QC,QC,QC,Class 3,Class 1,Class 2,Class 1,Class 3,Class 3,QC,Class 4,Class 2,Class 4,Class 3,Class 4,Class 4,QC,Class 1,Class 1,Class 1,Class 1,Class 2,Class 2,QC,Class 3,Class 3,Class 4,Class 4,Class 2,Class 2,QC,QC,Blank
42,470938,482148,438408,NaN,383879,434134,545876,513410,554854,555944,NaN,NaN,377178,535979,NaN,745318,298673,2306694,386378,NaN,509002,NaN,NaN,NaN,572969,434897,1428827,NaN,324463,NaN,NaN,NaN,582835,NaN,462718,421005,NaN
43,37582715,38733876,39824400,NaN,56317773,37297969,36883698,64892225,36638113,33579071,51173304,39306615,44266656,36337644,31173432,31129308,33845255,28562436,37432261,73383361,60398378,39172854,41979688,36392449,46529875,73209734,74674936,60782259,75649865,78898799,66515823,54190176,54889820,52156557,63680088,39770079,NaN
44,32653058,32642666,32189221,40393213,33065826,33511278,34314392,38188961,34787994,32521299,26865727,30574135,33478146,33743788,30195655,24348806,36144239,30168566,29168681,34710268,34040707,23357301,26289237,27223141,36018933,32122860,34904029,33616044,33131077,37875141,31867722,36384247,33821778,32562880,35315917,33619297,97739487
45,44175820,45877595,44023663,NaN,35983309,47281024,46354000,47472200,48446551,49846705,41815490,43019144,48166582,47603130,51359344,35595048,33027666,49190035,48419834,35009397,49757527,51002421,46164496,52519900,51993243,46513781,46228052,36219032,48890166,32969134,35071565,53240692,47683273,46932759,47261573,47104257,153045657
46,29898954,29073300,30931421,NaN,31272185,31465215,30188395,30417317,33449839,30514998,NaN,NaN,29781374,30357140,29660632,31841150,30159999,29411642,29933172,28365907,30465832,30548782,NaN,31443098,22698599,27832264,NaN,29789362,25738779,NaN,29131314,29183189,30481348,NaN,30501208,28663418,NaN
47,736307,428251,584687,NaN,462030,536024,626439,1355645,541943,597288,405016,896365,NaN,676313,NaN,NaN,1256170,NaN,NaN,721718,548117,1001798,NaN,NaN,2426509,1018380,2505240,568650,1841964,1515915,888148,1384773,NaN,736725,659944,549258,NaN
48,16322239,16395989,15627233,1396131,14850901,14908604,15225938,15343763,14690154,15577085,18167634,19099138,10006399,17211770,11897193,13803854,14191330,14680386,12489427,16354770,16519667,13445715,17815218,13859463,18208400,18874126,20050770,17260601,21361386,18106306,15152012,14959288,17634529,19460512,16954193,16403834,1927915
49,32004202,33171743,32405666,957722,34227134,36908068,37239545,35414129,28636513,27013436,17601005,35895857,36185716,34611543,27942644,14489639,44284204,16353712,19394143,38989194,38978233,35609033,27947057,17037266,40796259,57578715,53621938,35460821,44933383,51472544,52734591,37385611,28481515,34738500,38595688,32744433,NaN
50,164237793,172837265,171405277,NaN,171031595,171984150,185054452,209613628,110167002,124206377,268262303,311449249,182175972,168505670,157439991,148410534,164112581,83358773,118877725,249186998,173617064,157802489,198934391,107395891,214957901,170019958,375948916,153802035,237431878,251569213,157578500,111444091,94432042,199198634,176433536,153359465,NaN
51,82901374,94812065,87512844,NaN,98323582,98497843,104107641,82233610,123358745,171388050,164451432,11674105,175495284,101460920,141249303,80685125,63051083,40141060,68538162,72488867,103276324,66114646,174224205,102969958,91461849,82630768,192728474,102646549,79110844,89687362,72200304,82898917,102616099,124212637,109610502,101242798,NaN
52,5460481,4837275,5962236,9347365,7268149,7353534,7020085,6973562,8846647,8140021,5485040,5363953,6414306,6521446,5844441,6067091,4438413,6395960,7492276,5485853,6225599,6103797,6488971,7359817,4983277,7833382,10050642,12156458,8006809,8579933,8825970,7844407,8826113,6525422,5883777,7880817,4127694
53,813160518,773505773,759728809,NaN,762286258,747670259,767882338,630951785,941003628,1400589413,1003318257,732175024,1298741506,745291822,1053147497,767032841,466218141,696885656,705428338,366689117,740894720,465880598,1108673728,805784014,638394436,555737773,611980688,736258232,395378688,461830030,488251803,635391131,858618936,791410465,751380596,751598054,2093979
54,1542357,1604581,1596097,NaN,1489444,1752244,1572846,2628583,NaN,NaN,NaN,1645861,NaN,1507238,NaN,NaN,3726088,NaN,NaN,3504724,1746128,2673851,NaN,1436714,2787092,3796638,4855823,1880515,1749953,NaN,1488488,2982925,NaN,NaN,1780852,1685023,NaN
55,1920816,2206467,1985835,2720152,1925460,NaN,1930025,2259849,2070758,NaN,NaN,1508681,2255462,NaN,NaN,2147947,2015023,NaN,NaN,2048392,1890428,NaN,NaN,NaN,2212999,NaN,1821823,2245861,1664740,1864506,2174836,2126967,2006163,1404103,2129453,NaN,6591284
56,11521497,10980081,10967322,NaN,10652512,10456304,10497254,9632667,9808097,11540576,12484613,10409813,9967907,10373333,10677130,12053015,12037618,12150201,10990075,9337238,9810991,11290043,10828934,10167319,10751477,8995415,11109693,9570013,11658318,11497303,9323838,12205259,11301981,10054175,9848845,10259997,9203073
57,6229985,5842967,6274234,NaN,6128662,6436686,6584934,6575187,6484083,5938904,6065095,6501338,6376893,6871125,6431233,6628266,6428724,6259784,6274249,6967581,6362275,6280071,6179205,6059267,6341449,5923793,6914277,6353087,5371780,5650888,6089684,6278308,6007477,6051227,6005438,6072553,NaN
58,2825435,2547500,2519423,NaN,2721956,2848825,2435793,NaN,NaN,2769357,NaN,NaN,2935996,2738964,2611193,NaN,2777376,NaN,2787157,2484820,2545795,2707708,NaN,NaN,NaN,2408592,1717448,2379639,1930920,2018183,2632131,2555694,2671497,NaN,2291878,NaN,NaN
59,1137068,1027040,1237768,746463,1270479,1264307,1139550,956969,1056219,NaN,12049182,884505,1345559,1204213,932831,780878,1216127,713746,NaN,NaN,NaN,NaN,NaN,NaN,1129775,1243893,16511702,1067424,10571734,11118367,1118432,1241613,986030,NaN,NaN,1067486,654035
60,26642527,28446994,27754695,NaN,29371913,28717142,29211334,33398519,24370207,25711142,30760407,35092711,25452166,28128096,35628398,22324840,33694275,19932651,20092878,46148166,30502596,31818441,39660894,24268338,36761942,40500988,64736603,30906204,51419648,46600124,36168605,27808131,23059247,33864953,36027069,29985575,NaN
61,15911901,15725526,15379708,NaN,14866431,14908090,15235679,18753982,24210718,20784447,11730292,9929880,19276143,15287922,21026932,16082444,19261020,13582742,17745519,23485989,14281685,21035427,11566500,17347950,17984029,14614447,8706580,13715083,6517887,6083716,15520930,18440049,16190088,11637169,14796496,14053298,NaN
62,450459756,467899315,463504485,NaN,480893830,468200720,482454031,176342017,323124227,1868269528,1301020021,332677576,535668109,460837934,494054467,140506570,142491470,727927873,801628508,113294206,497787228,131883487,1022175678,309514211,118832680,61135562,1496124974,471153640,161655542,158941340,76093433,187024930,1007431080,403510207,524877910,481058786,NaN
63,175887398,167823392,172893743,141559799,172916076,173058151,174583331,175660887,178848047,NaN,308835496,186888905,171580968,178566351,179761356,183574055,182749128,NaN,NaN,148530937,168622668,151994742,313776404,182805630,169098250,189313302,197440932,176166895,152520522,183239476,182188464,186912328,NaN,139779897,167822576,182404651,NaN
64,139172494,134930065,144931877,NaN,143380728,145869228,141823313,141896859,160186861,NaN,NaN,NaN,142543049,147295417,137991413,149797656,143421701,146229436,142579177,134058273,139635082,135681219,NaN,150514411,112955371,135200101,NaN,141424068,121650247,109407667,141004721,142428872,147761856,132126756,143256512,137866232,NaN
65,1134486,1087739,1135209,NaN,925314,NaN,NaN,1904083,NaN,NaN,NaN,1208253,NaN,NaN,NaN,NaN,1869919,NaN,NaN,1031484,1134425,1328367,NaN,NaN,3316631,1515223,3861651,870599,2843266,2479090,1466987,2134925,NaN,1335378,1298078,1053185,NaN
66,7960127809,8287051389,7901469191,NaN,8367067143,7989135127,8551937657,8169146294,8017710372,7540019178,5757245019,4373797416,6773414631,8101985321,7168705823,7301991493,7894779101,8774726189,7984454904,7681619014,8862942494,6935228269,4410402510,7384070932,10181244489,8675051310,5216508608,8367712999,13582972115,5551748397,8355601818,8345251313,7946554815,13855803015,9664355796,8725416680,NaN
67,NaN,NaN,4887462705,NaN,8022539,7160578,NaN,8064859,13945969,5485639,10861458664,6979039,6291618,NaN,NaN,NaN,8463760417,NaN,NaN,8841345665,7472735,7739440,7248065,12933185,9181418493,8990198179,NaN,6926275,9869376406,NaN,8742098,6935127,NaN,6333772,14321013,6353541,NaN
68,130766305,140656815,130923907,132309375,138881891,131469160,150531535,220114150,257880038,150691876,280340096,902856103,213021116,134493143,211158184,177528630,320859163,130349846,96962588,260510538,149746110,139951948,243434183,169271702,371574882,213377267,421371135,137526697,291012032,322193810,278263881,288379322,172806699,221739029,154765702,133232926,95580896
69,181699471,182995652,184967175,NaN,189692206,195321038,197448555,280639983,144987902,118852140,147962626,NaN,96223472,188876247,66428457,88082515,213379277,63904967,109956984,256220451,186631449,195264398,NaN,98646359,240994612,420243704,144861073,180550805,146042949,152821305,248054708,143164324,132664000,204447689,180517636,164471954,NaN
