"Sample","Filter","Filter","Filter","Filter","Filter","Filter","Filter"," 4"," 5"," 6"," 7"," 8"," 9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37"
"Class","Blank Contribution","Sample Variability","Sample Count","QC Count","QC RSD","LOQ Ratio Low","LOQ Ratio High","Blank","QC","QC","QC","Class 3","Class 1","Class 2","Class 1","Class 3","Class 3","QC","Class 4","Class 2","Class 4","Class 3","Class 4","Class 4","QC","Class 1","Class 1","Class 1","Class 1","Class 2","Class 2","QC","Class 3","Class 3","Class 4","Class 4","Class 2","Class 2","QC","QC","Blank"
"70","Removed","Kept","Removed","Kept","Kept","Kept","Kept","7063237","10707880","9966722","9781841","10058029","9228887","NaN","NaN","NaN","8939403","10262201","9359525","10714721","9441549","NaN","10176403","8200649","10370143","9529089","NaN","11002014","10144004","11654916","NaN","10566509","9244152","NaN","10672816","10404726","10012787","NaN","9804752","10410820","NaN"
"71","Kept","Kept","Removed","Kept","Kept","Kept","Kept","NaN","41538116","40607580","41626374","10795867","19524365","127718004","NaN","20927601","44833051","37982434","43286706","8172858","NaN","56136680","59487158","NaN","40194831","7526350","73988491","28026864","NaN","NaN","102184685","37738416","NaN","8454661","3471346","11223134","71134143","30914759","36784424","35923864","NaN"
"72","Kept","Kept","Removed","Kept","Kept","Kept","Kept","NaN","45731380","44778777","46531244","64506249","NaN","NaN","NaN","NaN","NaN","46567532","NaN","NaN","53889936","NaN","44740205","67221239","NaN","46756936","NaN","37697747","NaN","75210993","NaN","39810327","NaN","NaN","53587439","NaN","35119599","NaN","35959630","37248924","NaN"
"73","Removed","Kept","Kept","Kept","Kept","Kept","Kept","NaN","4397978","4219658","4702978","4065072","4118267","4772502","5070442","4410590","4144826","4478530","4436391","4783003","4954738","4994741","4606138","3786741","4097447","4692779","4587100","4160827","4667665","3752316","4656325","3907995","4806989","4791101","3946890","5047981","4782987","4448511","4007306","4116818","3856034"
"74","Kept","Removed","Kept","Kept","Kept","Kept","Kept","NaN","2183619","2474072","1964352","2316704","2187834","2261358","2175524","2354464","2037689","2542017","2475628","2370022","2120226","2039438","2476421","2496991","1998333","2096542","2319603","2116602","2112382","2277571","2628810","2418633","1760299","1856091","2209884","2161830","2032234","2021735","2039846","2223458","NaN"
"75","Kept","Removed","Removed","Kept","Kept","Kept","Kept","NaN","1149236","1291395","1018570","NaN","1138893","1118049","NaN","NaN","1064863","985682","1007624","1099704","1089392","1110942","1196641","NaN","974815","1098192","NaN","1043893","NaN","NaN","NaN","932620","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"76","Kept","Kept","Removed","Kept","Kept","Kept","Kept","NaN","4224585","NaN","3773416","NaN","3683796","4776899","NaN","7010546","3966919","4832678","2909342","2875735","NaN","2925549","1758253","NaN","NaN","3802491","5857052","NaN","NaN","NaN","6727495","NaN","4703377","NaN","2427885","3463229","3951571","6122278","3694146","4155103","NaN"
"82","Removed","Kept","Kept","Kept","Kept","Removed","Removed"," 9789855"," 9543196"," 8825584"," 9858047","14620906","17808901"," 9649231","18977691","63752327","13738434"," 8981472","14037368","12242429","21233981"," 8553408"," 6327528","17038752","10366809"," 9275774","15928633","10937120","25013086","14256995","27767370"," 9289740","18920913","21254041","17908234","19129712","12207835","15448431","10550824"," 9316590","11889091"
"87","Kept","Kept","Removed","Kept","Kept","Kept","Kept","NaN","19769084","21765937","20194975","20636787","21099683","20618233","13419622","10826283","16496928","19609452","18433283","17727734","17813405","21571961","21338297","21596080","22828050","18388329","7717573","20362706","20690282","21022346","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","18117457","14020492","NaN"
"90","Removed","Kept","Kept","Kept","Kept","Removed","Removed"," 2524192"," 2800399"," 2919576"," 2784569"," 3345255"," 2209060"," 2309055"," 6020859"," 6581476"," 5485124"," 2726462"," 5214307"," 3011837"," 4399761"," 3154686"," 4241741"," 7809768"," 2624398"," 2557418"," 3968133"," 3766124"," 5008300"," 2199348"," 2313197"," 2681289"," 5699011"," 3277950"," 2670590","11159503"," 2166496"," 3079505"," 2394824"," 2496171"," 2357439"
"91","Kept","Kept","Removed","Kept","Removed","Kept","Kept","NaN","2418508","1607097","3026107","1786979","2028922","2550866","NaN","1711528","3478273","2911256","3069814","2212149","3078671","653699","NaN","NaN","1321821","1420025","2965332","2358110","1058890","NaN","3881661","3431444","4185836","NaN","3240250","4591326","2977807","3160284","2536985","3272897","NaN"
"93","Removed","Kept","Kept","Kept","Kept","Removed","Removed"," 1896151"," 7803389"," 6858014"," 7280752"," 9148920"," 5554163"," 5262055","20443486","32923784"," 8371151"," 7077117"," 9530105"," 7645434"," 6821592"," 7089859"," 9693050","10868264"," 6689382","12348627"," 9711578"," 8358123","10909315"," 5953161","18305235"," 6309996","16075763","11193957"," 6223749"," 7170027"," 5396838","16937410"," 6990208"," 6374692"," 2480661"
"94","Removed","Kept","Kept","Kept","Kept","Removed","Removed"," 4753147"," 8244781"," 7379085"," 8244526"," 7478544"," 7880867","23546290","12815536","13820873"," 8759193"," 7212951","13329052"," 7954723","10499378"," 7418570"," 7222360","11110161"," 8151347"," 3873865","10888396"," 8380121","10207013"," 8293754","10825258"," 7407861"," 8967102"," 8206309"," 9081505","10239535"," 7807017","10060487"," 8811878"," 7265697"," 3373148"
"96","Kept","Kept","Removed","Kept","Kept","Kept","Kept","NaN","2111528","2205267","2086182","2813925","2024577","NaN","NaN","2285768","NaN","2153050","2165645","2160610","2064587","2330258","1563479","2145559","NaN","NaN","NaN","2422789","1953592","2714070","NaN","2171117","NaN","NaN","2209063","2166816","1932247","NaN","NaN","1943655","NaN"
"97","Kept","Kept","Kept","Kept","Kept","Kept","Removed","  35188115","1974961827","1963602906","1944748067","2202092817","1148282403","1994978043","2029911374","2332372028","2274094199","1829994087","1420348780","2059648116","1496558221","2069229335","1456092968","1732550558","1973350009","1744887026","2649227126","1965343900","1196037980","1464492857","2394396457","1819084067","1852586656","2548931033","1577177331","1645290596","2728622685","2108708651","2133962631","1660029034","  38750130"
"98","Removed","Kept","Kept","Kept","Kept","Removed","Removed"," 19443067"," 51620000"," 51397348"," 52528474"," 86590406"," 63494203"," 34818400"," 69825232"," 97031452"," 55865664"," 50833384"," 74362412"," 30078612"," 68679033"," 26223309"," 41118800"," 45896967"," 52791834"," 72188137"," 59772663"," 33192994"," 82928473"," 33318678","109051637"," 49673280"," 47374446"," 74562211"," 33614338"," 68255824"," 23250650"," 69630843"," 56200647"," 52375512"," 21030274"
"103","Kept","Kept","Kept","Kept","Kept","Kept","Removed","  1849765","108283056","107880742","104957041","124162317"," 63173602","109624192","110383693","125537649","123831979","101688814"," 77799082","113560918"," 80302940","110954083"," 80614172"," 95821935","106465802"," 97072391","143473245","108301510"," 66235509"," 81114809","132311408"," 98343626","103069115","138778675"," 88255085"," 91275536","147576753","116166378","115536164"," 90895553","  2089505"
"104","Removed","Kept","Kept","Kept","Kept","Removed","Removed"," 2145035","21932078","17743358","20108669","32783609","12279049","25221121","19468893","24348420","20735190","21847315","17097222","10529122","32355502","12846671","12677238","24595349","23612441","15520474","19658969","10053758","34203751","23818285","39110850","18594293","35490079","27088557","22461939","31946030","19044386","21409619","25917760","19035744"," 1597200"
"105","Removed","Kept","Kept","Kept","Kept","Removed","Removed","1162508","3335959","3333676","3418630","5700966","4099682","2168358","4434582","6252453","3630885","3226822","4892671","1881077","4337385","1712258","2601721","3004437","3367120","4784333","3907083","2191046","5424905","2098977","7188680","3290420","3064197","4837630","2047214","4643097","1421764","4513108","3613278","3418606","1364564"
"109","Removed","Kept","Removed","Kept","Kept","Kept","Kept","NaN","1103511","1104820","1348404","NaN","NaN","1469047","1218301","1671803","NaN","1074823","996708","NaN","1523266","NaN","1022874","1623001","1242118","820900","1252080","688247","1523501","NaN","1378094","1155529","1497935","1935910","5006748","NaN","NaN","NaN","1162090","NaN","1533763"
"110","Removed","Kept","Kept","Kept","Kept","Removed","Removed","  75917910"," 260793688"," 250942334"," 264814699"," 433140012"," 151571294"," 204876274"," 606976045"," 686232412"," 268463352"," 249145773"," 254720687"," 168567105"," 243614684"," 177386560"," 157525609"," 423849899"," 272762154"," 141530943"," 571442804"," 182254360","1124949383"," 103093594"," 709244120"," 259666660"," 192462358"," 253967944"," 101971572"," 302156999"," 160749389"," 393046915"," 282216223"," 265819230","  57951750"
"112","Removed","Kept","Kept","Kept","Kept","Removed","Removed","1653123","2591791","2330114","2699276","2537063","3031651","2142628","4113693","3477505","3090112","2436622","4131057","2900818","NaN","2653366","2322179","4386299","2754094","NaN","2834327","2490563","3191750","2812085","3264762","2305982","2383947","3242781","3014954","3950313","2885892","3445588","2779476","2355688","1092246"
"114","Removed","Kept","Kept","Kept","Kept","Removed","Removed"," 4958558","17201104","16080139","17245687","28205435"," 9982832","13273079","39737159","44854112","17390913","16103133","16597529","11151719","15821761","11373316","10359926","28058601","17647748"," 9200244","37447498","12024638","73296997"," 6601409","46443082","16754884","12418777","16458365"," 6772489","19548484","10298346","25411016","18395822","17144294"," 3735222"
"116","Removed","Kept","Kept","Kept","Kept","Removed","Removed","  43525883"," 128412593"," 126774771"," 131451576","  44881614"," 107505331","  60614699","  85299968","2196287894","  55121485"," 130500398","  53372714","  42087880","  81342539","  54140316","  13942842"," 154590395"," 131867408","  49771310","  49226066","  49477110"," 150865427"," 164457274","  69021736"," 132187544"," 182347093","  43922472","  74294444","  54794761","  44494460"," 160640441"," 137395346"," 127195718","  37827227"
"118","Removed","Kept","Kept","Kept","Kept","Removed","Removed"," 26934659","286278081","288290041","287455226","289986241","277737946","288408036","378628494","362776948","190061218","317496369","223051115","263914416","263404479","272827487","245016296","303381110","311671942","243982977","340772881","252710345","350438215","343667466","398265890","322364745","407539815","368787851","281563996","267848926","326519928","361358467","322603689","306025097"," 32020373"
"121","Kept","Removed","Removed","Kept","Kept","Kept","Kept","NaN","3566542","3936778","3658829","3853838","NaN","3529160","NaN","NaN","3165831","3874731","NaN","NaN","3835922","NaN","NaN","3406409","3598207","3508479","NaN","NaN","3321781","3937471","NaN","3544048","3219571","NaN","3627295","3344042","3685187","NaN","3308771","3333109","NaN"
